parameter,value,units,classification,confidence,source,reference,range,notes
duty,0.4,dimensionless / selection,User-adjustable assumption,LOW,Measured H100 training workload,https://arxiv.org/abs/2412.08602,User editable,Synthetic scenario/control assumption; not published NVL72 data. Motivates fluctuating traces only; numerical settings are synthetic and are not fitted NVL72 telemetry.
correlation,0.4,fraction,User-adjustable assumption,LOW,Measured H100 training workload,https://arxiv.org/abs/2412.08602,0–1,"Probability of shared burst state, not an asserted Pearson correlation coefficient. Motivates fluctuating traces only; numerical settings are synthetic and are not fitted NVL72 telemetry."
ramp_per_s,0.2,utilization fraction/s,User-adjustable assumption,LOW,Measured H100 training workload,https://arxiv.org/abs/2412.08602,User editable,Synthetic scenario/control assumption; not published NVL72 data. Motivates fluctuating traces only; numerical settings are synthetic and are not fitted NVL72 telemetry.
localized_count,4,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
compute_power_scale,1.0,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
switch_power_scale,1.0,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
compute_liquid_fraction,1.0,fraction,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,.7–1,"Fraction of electrical-equivalent tray load entering liquid. 1 reproduces legacy heat assignment, not a measured fraction."
switch_liquid_fraction,1.0,fraction,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,.5–1,Separates electrical power from liquid heat; no verified NVL72 calorimetry.
compute_C_J_K,12000.0,J/K,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,3000–30000,Effective tray thermal inertia; requires transient test identification.
switch_C_J_K,4000.0,J/K,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,1000–12000,Effective tray thermal inertia; not a published NVSwitch value.
compute_R_K_W,0.004,K/W,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,.002–.008,"Equivalent whole-tray solid-to-mixed-coolant resistance, not per-GPU junction R."
switch_R_K_W,0.012,K/W,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,.006–.024,"Equivalent whole-tray resistance, not per-ASIC junction R."
coolant_C_J_K,1200.0,J/K,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,400–4000,Well-mixed local coolant thermal storage; not total CDU inventory.
chip_limit_C,80.0,°C,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,65–90,"User screening target for representative thermal node, not NVIDIA throttle specification."
outlet_limit_C,65.0,°C,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
target_rise_K,15.0,K,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,8–20,Power-derived target flow uses this coolant temperature rise.
minimum_flow_fraction,0.15,fraction,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,.05–.3,"Minimum flow relative to frozen design flow, not a published cold-plate minimum."
controller,combined,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
control_s,2.0,s,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
sensor_s,2.0,s,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
sensor_noise_K,0.1,K,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
sensor_bias_K,0.0,K,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
temperature_target_C,72.0,°C,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,55–78,Controller setpoint below screening limit; tuning assumption.
kp_per_K,0.025,1/K,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
ki_per_K_s,0.0005,1/(K s),User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
flow_gain,0.3,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
valve_min_area_fraction,0.015,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
valve_max_bore_fraction,0.95,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
valve_Cd,0.62,dimensionless,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,.5–.8,Effective-area surrogate; must replace with measured Cv versus stroke for hardware selection.
valve_body_K,2.0,dimensionless,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,.5–10,"Additional full-open body loss, referenced to branch tube velocity."
valve_tau_s,15.0,s,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
valve_stroke_s,90.0,s,User-adjustable assumption,LOW,Belimo LRB24-SR,https://www.belimo.com/us/shop/en_US/p?code=LRB24-SR,5–120,90 s representative motorized HVAC actuator; not an NVL72 valve or validated coolant-compatible selection. Default matches manufacturer; current setting may be an override.
valve_deadband,0.005,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
valve_running_W,1.5,W/valve,User-adjustable assumption,LOW,Belimo LRB24-SR,https://www.belimo.com/us/shop/en_US/p?code=LRB24-SR,.5–6,Representative Belimo actuator running power. Default matches manufacturer; current setting may be an override.
valve_holding_W,0.4,W/valve,User-adjustable assumption,LOW,Belimo LRB24-SR,https://www.belimo.com/us/shop/en_US/p?code=LRB24-SR,0–3,Representative Belimo actuator holding power. Default matches manufacturer; current setting may be an override.
electronics_W,5.0,W,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
fail_position,1.0,fraction open,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,0–1,"Commanded communications-loss position, assuming control power remains. The cited LRB24-SR is NON fail-safe; mechanical fail-open requires different hardware."
controlled_branches,27,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
pump_mode,demand,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
pump_tau_s,10.0,s,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
pump_min_speed,0.2,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
pump_max_speed,1.2,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
pump_efficiency,0.6,fraction,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,.3–.8,Constant efficiency approximation; actual efficiency map unavailable.
pump_enabled,True,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
coldplate_scale,1.0,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
qd_scale,1.0,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
header_scale,1.0,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
supply_offset_K,0.0,K,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
design_flow_scale,1.0,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
event_s,100.0,s,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
reconnect_s,200.0,s,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
reconnect_ramp_s,20.0,s,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
failure,none,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
failure_tray,0,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
sensor_failure_bias_K,8.0,K,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
electricity_per_kWh,0.12,USD/kWh,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
operating_hours,8760.0,hours/year,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
cost_case,nominal,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
payback_horizon_years,5.0,years,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
cost.orifice,25.0,USD or USD/year,User-adjustable assumption,LOW,Engineering budget,Engineering budget,,"Editable budget, not a supplier quotation. Maintenance entries are USD/year."
cost.valve,350.0,USD or USD/year,User-adjustable assumption,LOW,Engineering budget,Engineering budget,,"Editable budget, not a supplier quotation. Maintenance entries are USD/year."
cost.temperature_sensor,40.0,USD or USD/year,User-adjustable assumption,LOW,Engineering budget,Engineering budget,,"Editable budget, not a supplier quotation. Maintenance entries are USD/year."
cost.flow_sensor,100.0,USD or USD/year,User-adjustable assumption,LOW,Engineering budget,Engineering budget,,"Editable budget, not a supplier quotation. Maintenance entries are USD/year."
cost.pressure_sensors,300.0,USD or USD/year,User-adjustable assumption,LOW,Engineering budget,Engineering budget,,"Editable budget, not a supplier quotation. Maintenance entries are USD/year."
cost.controller,500.0,USD or USD/year,User-adjustable assumption,LOW,Engineering budget,Engineering budget,,"Editable budget, not a supplier quotation. Maintenance entries are USD/year."
cost.wiring,400.0,USD or USD/year,User-adjustable assumption,LOW,Engineering budget,Engineering budget,,"Editable budget, not a supplier quotation. Maintenance entries are USD/year."
cost.power_supply,150.0,USD or USD/year,User-adjustable assumption,LOW,Engineering budget,Engineering budget,,"Editable budget, not a supplier quotation. Maintenance entries are USD/year."
cost.integration,1500.0,USD or USD/year,User-adjustable assumption,LOW,Engineering budget,Engineering budget,,"Editable budget, not a supplier quotation. Maintenance entries are USD/year."
cost.fixed_maintenance,75.0,USD or USD/year,User-adjustable assumption,LOW,Engineering budget,Engineering budget,,"Editable budget, not a supplier quotation. Maintenance entries are USD/year."
cost.active_maintenance,400.0,USD or USD/year,User-adjustable assumption,LOW,Engineering budget,Engineering budget,,"Editable budget, not a supplier quotation. Maintenance entries are USD/year."
baseline.rack.compute_trays,18,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.rack.switch_trays,9,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.rack.layout,"['C01', 'C02', 'C03', 'C04', 'C05', 'C06', 'C07', 'C08', 'C09', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'C10', 'C11', 'C12', 'C13', 'C14', 'C15', 'C16', 'C17', 'C18']",see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.rack.elevations_m,None,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.rack.flow_LPM,120.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.rack.supply_C,40.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.rack.operating_mode,fixed_flow,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.rack.gravity_enabled,True,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.rack.gravity_m_s2,9.80665,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.power.gpu_W_each,1200,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.power.gpus_per_compute_tray,4,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.power.grace_cpu_W_each,500,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.power.cpus_per_compute_tray,2,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.power.switch_rack_total_W,11160,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.power.compute_fraction,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.power.switch_fraction,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.power.compute_aux_W,0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.power.switch_aux_W,0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.power.tray_heat_W,"[5800.0, 5800.0, 5800.0, 5800.0, 5800.0, 5800.0, 5800.0, 5800.0, 5800.0, 1240.0, 1240.0, 1240.0, 1240.0, 1240.0, 1240.0, 1240.0, 1240.0, 1240.0, 5800.0, 5800.0, 5800.0, 5800.0, 5800.0, 5800.0, 5800.0, 5800.0, 5800.0]",see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.geometry.height_m,1.8,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.geometry.roughness_m,1.5e-06,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.geometry.supply.profile,constant,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.geometry.supply.inlet_m,0.038,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.geometry.supply.outlet_m,0.038,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.geometry.supply.exponent,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.geometry.supply.pieces_m,"[0.038, 0.032, 0.025]",see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.geometry.return.profile,constant,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.geometry.return.inlet_m,0.038,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.geometry.return.outlet_m,0.038,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.geometry.return.exponent,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.geometry.return.pieces_m,"[0.025, 0.032, 0.038]",see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.compute.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.compute.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.compute.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.compute.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.compute.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.compute.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.switch.diameter_m,0.006,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.switch.tube_length_m,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.switch.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.switch.coldplate_K,20000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.switch.qdc_K,5000000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.switch.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C01.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C01.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C01.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C01.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C01.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C01.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C01.orifice_diameter_m,0.0063351665909001185,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C02.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C02.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C02.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C02.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C02.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C02.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C02.orifice_diameter_m,0.006409915367443772,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C03.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C03.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
